_id,reactant,product,reaction,condition,template_r0,template_r1
180,c1ccccc1.ClCl.ClCl.ClCl,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,[cH:3]1[cH:5][cH:7][cH:9][cH:11][cH:2]1.[Cl:12][Cl:4].[Cl:8][Cl:6].[Cl:1][Cl:10]>>[Cl:1][CH:2]1[CH:3]([Cl:4])[CH:5]([Cl:6])[CH:7]([Cl:8])[CH:9]([Cl:10])[CH:11]1[Cl:12],"Cl2, hv or ROOR",[Cl;H0;D1;+0:5]-[CH;D3;+0:12]1-[CH;D3;+0:7](-[Cl;H0;D1;+0:1])-[CH;D3;+0:8](-[Cl;H0;D1;+0:6])-[CH;D3;+0:9](-[Cl;H0;D1;+0:2])-[CH;D3;+0:10](-[Cl;H0;D1;+0:3])-[CH;D3;+0:11]-1-[Cl;H0;D1;+0:4]>>[Cl;H0;D1;+0:1]-[Cl;H0;D1;+0:2].[Cl;H0;D1;+0:3]-[Cl;H0;D1;+0:4].[Cl;H0;D1;+0:5]-[Cl;H0;D1;+0:6].[cH;D2;+0:7]1:[cH;D2;+0:8]:[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:[cH;D2;+0:12]:1,[Cl;H0;D1;+0:5]-[CH;D3;+0:12]1-[CH;D3;+0:7](-[Cl;H0;D1;+0:1])-[CH;D3;+0:8](-[Cl;H0;D1;+0:6])-[CH;D3;+0:9](-[Cl;H0;D1;+0:2])-[CH;D3;+0:10](-[Cl;H0;D1;+0:3])-[CH;D3;+0:11]-1-[Cl;H0;D1;+0:4]>>[Cl;H0;D1;+0:1]-[Cl;H0;D1;+0:2].[Cl;H0;D1;+0:3]-[Cl;H0;D1;+0:4].[Cl;H0;D1;+0:5]-[Cl;H0;D1;+0:6].[cH;D2;+0:7]1:[cH;D2;+0:8]:[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:[cH;D2;+0:12]:1
181,Cc1ccccc1.ON(=O)=O,Cc1ccc(N(=O)=O)cc1,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:9][cH:10]1.O[N:6](=[O:7])=[O:8]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([N:6](=[O:7])=[O:8])[cH:9][cH:10]1,"H2SO4,HNO3",[N+;H0;D3:1]-[c;H0;D3;+0:2]>>O-[N+;H0;D3:1].[cH;D2;+0:2],[O;-;D1;H0:2]-[N+;H0;D3:1](=[O;D1;H0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>O-[N+;H0;D3:1](-[O;-;D1;H0:2])=[O;D1;H0:3].[c:4]:[cH;D2;+0:5]:[c:6]
182,Cc1ccccc1.ON(=O)=O,Cc1c(N(=O)=O)cccc1,[CH3:1][c:2]1[cH:3][cH:7][cH:8][cH:9][cH:10]1.O[N:4](=[O:5])=[O:6]>>[CH3:1][c:2]1[c:3]([N:4](=[O:5])=[O:6])[cH:7][cH:8][cH:9][cH:10]1,"H2SO4,HNO3",[N+;H0;D3:1]-[c;H0;D3;+0:2]>>O-[N+;H0;D3:1].[cH;D2;+0:2],[O;-;D1;H0:2]-[N+;H0;D3:1](=[O;D1;H0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>O-[N+;H0;D3:1](-[O;-;D1;H0:2])=[O;D1;H0:3].[c:4]:[cH;D2;+0:5]:[c:6]
183,Cc1ccccc1.ON(=O)=O,Cc1c(N(=O)=O)cccc1,[CH3:1][c:2]1[cH:3][cH:7][cH:8][cH:9][cH:10]1.O[N:4](=[O:5])=[O:6]>>[CH3:1][c:2]1[c:3]([N:4](=[O:5])=[O:6])[cH:7][cH:8][cH:9][cH:10]1,20% HNO3,[N+;H0;D3:1]-[c;H0;D3;+0:2]>>O-[N+;H0;D3:1].[cH;D2;+0:2],[O;-;D1;H0:2]-[N+;H0;D3:1](=[O;D1;H0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>O-[N+;H0;D3:1](-[O;-;D1;H0:2])=[O;D1;H0:3].[c:4]:[cH;D2;+0:5]:[c:6]
184,C1=CC=CC2=CC=CC=C21.ON(=O)=O,O=N(C1=CC=CC2=CC=CC=C21)=O,[CH:3]1=[CH:4][CH:5]=[CH:6][C:7]2=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]12.[OH:1][N:2](=O)=[O:13]>>[O:1]=[N:2]([C:3]1=[CH:4][CH:5]=[CH:6][C:7]2=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]12)=[O:13],"H2SO4,HNO3",[O-;H0;D1:2]-[N+;H0;D3:1]-[c;H0;D3;+0:3]>>[O-]-[N+;H0;D3:1]-[OH;D1;+0:2].[cH;D2;+0:3],[O-;H0;D1:3]-[N+;H0;D3:1](=[O;D1;H0:2])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>[O-]-[N+;H0;D3:1](=[O;D1;H0:2])-[OH;D1;+0:3].[c:4]:[cH;D2;+0:5]:[c:6]
185,CC=C.[K+].O=[Mn]([O-])(=O)=O,CC(=O)O,[CH3:1][CH:2]=C.[K+].O=[Mn]([O-])(=[O:3])=[O:4]>>[CH3:1][C:2](=[O:3])[OH:4],"conc., KMnO4",[O;H0;D1;+0:2]=[C;H0;D3;+0:1]-[OH;D1;+0:3]>>C=[CH;D2;+0:1].O=[Mn](-[O-])(=[O;H0;D1;+0:2])=[O;H0;D1;+0:3],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;H0;D1;+0:3])-[OH;D1;+0:4]>>C=[CH;D2;+0:1]-[C;D1;H3:2].O=[Mn](-[O-])(=[O;H0;D1;+0:3])=[O;H0;D1;+0:4]
186,CC=C(C)C.[K+].O=[Mn]([O-])(=O)=O,CC(=O)O,CC=[C:2](C)[CH3:1].[K+].O=[Mn]([O-])(=[O:3])=[O:4]>>[CH3:1][C:2](=[O:3])[OH:4],"conc., KMnO4",[O;H0;D1;+0:2]=[C;H0;D3;+0:1]-[OH;D1;+0:3]>>C-C=[C;H0;D3;+0:1]-C.O=[Mn](-[O-])(=[O;H0;D1;+0:2])=[O;H0;D1;+0:3],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;H0;D1;+0:3])-[OH;D1;+0:4]>>C-C=[C;H0;D3;+0:1](-C)-[C;D1;H3:2].O=[Mn](-[O-])(=[O;H0;D1;+0:3])=[O;H0;D1;+0:4]
187,CC=C(C)C.[K+].O=[Mn]([O-])(=O)=O,CC(=O)O,CC=[C:2](C)[CH3:1].[K+].O=[Mn]([O-])(=[O:3])=[O:4]>>[CH3:1][C:2](=[O:3])[OH:4],"conc., KMnO4",[O;H0;D1;+0:2]=[C;H0;D3;+0:1]-[OH;D1;+0:3]>>C-C=[C;H0;D3;+0:1]-C.O=[Mn](-[O-])(=[O;H0;D1;+0:2])=[O;H0;D1;+0:3],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;H0;D1;+0:3])-[OH;D1;+0:4]>>C-C=[C;H0;D3;+0:1](-C)-[C;D1;H3:2].O=[Mn](-[O-])(=[O;H0;D1;+0:3])=[O;H0;D1;+0:4]
188,CC=CC.[K+].O=[Mn]([O-])(=O)=O,CC(=O)O,[CH3:1][CH:2]=CC.[K+].O=[Mn]([O-])(=[O:3])=[O:4]>>[CH3:1][C:2](=[O:3])[OH:4],"conc., KMnO4",[O;H0;D1;+0:2]=[C;H0;D3;+0:1]-[OH;D1;+0:3]>>C-C=[CH;D2;+0:1].O=[Mn](-[O-])(=[O;H0;D1;+0:2])=[O;H0;D1;+0:3],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;H0;D1;+0:3])-[OH;D1;+0:4]>>C-C=[CH;D2;+0:1]-[C;D1;H3:2].O=[Mn](-[O-])(=[O;H0;D1;+0:3])=[O;H0;D1;+0:4]
189,CC=CC.[K+].O=[Mn]([O-])(=O)=O,CC(=O)O,[CH3:1][CH:2]=CC.[K+].O=[Mn]([O-])(=[O:3])=[O:4]>>[CH3:1][C:2](=[O:3])[OH:4],"conc., KMnO4",[O;H0;D1;+0:2]=[C;H0;D3;+0:1]-[OH;D1;+0:3]>>C-C=[CH;D2;+0:1].O=[Mn](-[O-])(=[O;H0;D1;+0:2])=[O;H0;D1;+0:3],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;H0;D1;+0:3])-[OH;D1;+0:4]>>C-C=[CH;D2;+0:1]-[C;D1;H3:2].O=[Mn](-[O-])(=[O;H0;D1;+0:3])=[O;H0;D1;+0:4]
190,C1=CC=CC2=CC=CC=C21.OS(=O)(=O)O,O=S(C1=CC=CC2=CC=CC=C21)(O)=O,[CH:3]1=[CH:4][CH:5]=[CH:6][C:7]2=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]12.[OH:1][S:2](=O)(=[O:14])[OH:13]>>[O:1]=[S:2]([C:3]1=[CH:4][CH:5]=[CH:6][C:7]2=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]12)([OH:13])=[O:14],"H2SO4, 0-60 C",[O;H0;D1;+0:2]=[S;H0;D4;+0:1]-[c;H0;D3;+0:3]>>O=[S;H0;D4;+0:1]-[OH;D1;+0:2].[cH;D2;+0:3],[O;D1;H0:2]=[S;H0;D4;+0:1](-[O;D1;H1:3])(=[O;H0;D1;+0:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>O=[S;H0;D4;+0:1](=[O;D1;H0:2])(-[O;D1;H1:3])-[OH;D1;+0:4].[c:5]:[cH;D2;+0:6]:[c:7]
191,Oc1ccccc1.OS(=O)(=O)O,Oc1c(S(=O)(=O)O)cccc1,[OH:1][c:2]1[cH:3][cH:8][cH:9][cH:10][cH:11]1.[OH:5][S:4](=[O:6])(=O)[OH:7]>>[OH:1][c:2]1[c:3]([S:4](=[O:5])(=[O:6])[OH:7])[cH:8][cH:9][cH:10][cH:11]1,"X2,conc. H2SO4",[O;H0;D1;+0:2]=[S;H0;D4;+0:1]-[c;H0;D3;+0:3]>>O=[S;H0;D4;+0:1]-[OH;D1;+0:2].[cH;D2;+0:3],[O;D1;H0:2]=[S;H0;D4;+0:1](-[O;D1;H1:3])(=[O;H0;D1;+0:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>O=[S;H0;D4;+0:1](=[O;D1;H0:2])(-[O;D1;H1:3])-[OH;D1;+0:4].[c:5]:[cH;D2;+0:6]:[c:7]
192,c1ccccc1CC.[K+].O=[Mn]([O-])(=O)=O,c1ccccc1C(=O)O,[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7]C.[K+].O=[Mn]([O-:9])(=[O:8])=O>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[C:7](=[O:8])[OH:9],"KMnO4,heating",[O;H0;D1;+0:3]=[C;H0;D3;+0:1]-[OH;D1;+0:2]>>C-[CH2;D2;+0:1].O=[Mn](=O)(-[O-;H0;D1:2])=[O;H0;D1;+0:3],[O;H0;D1;+0:4]=[C;H0;D3;+0:1](-[OH;D1;+0:3])-[c:2]>>C-[CH2;D2;+0:1]-[c:2].O=[Mn](=O)(-[O-;H0;D1:3])=[O;H0;D1;+0:4]
193,CCC=C.[K+].O=[Mn]([O-])(=O)=O,CCC(=O)O,[CH3:1][CH2:2][CH:3]=C.[K+].O=[Mn]([O-:5])(=[O:4])=O>>[CH3:1][CH2:2][C:3](=[O:4])[OH:5],"conc., KMnO4",[O;H0;D1;+0:3]=[C;H0;D3;+0:1]-[OH;D1;+0:2]>>C=[CH;D2;+0:1].O=[Mn](=O)(-[O-;H0;D1:2])=[O;H0;D1;+0:3],[C:2]-[C;H0;D3;+0:1](=[O;H0;D1;+0:4])-[OH;D1;+0:3]>>C=[CH;D2;+0:1]-[C:2].O=[Mn](=O)(-[O-;H0;D1:3])=[O;H0;D1;+0:4]
194,C(=O)O.OO,C(=O)OO,[CH:1](=[O:2])[OH:3].[OH:4]O>>[CH:1](=[O:2])[O:3][OH:4],H2O2,[O;H0;D2;+0:2]-[OH;D1;+0:1]>>O-[OH;D1;+0:1].[OH;D1;+0:2],[O;D1;H0:2]=[C:3]-[O;H0;D2;+0:4]-[OH;D1;+0:1]>>O-[OH;D1;+0:1].[O;D1;H0:2]=[C:3]-[OH;D1;+0:4]
195,CCO.ClS(=O)(=O)CC,CCOS(=O)(=O)CC,[CH3:1][CH2:2][OH:3].Cl[S:4](=[O:5])(=[O:6])[CH2:7][CH3:8]>>[CH3:1][CH2:2][O:3][S:4](=[O:5])(=[O:6])[CH2:7][CH3:8],,[O;H0;D2;+0:2]-[S;H0;D4;+0:1]>>Cl-[S;H0;D4;+0:1].[OH;D1;+0:2],[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6]
196,CC(C)=C(C)C.O=[Os](=O)(=O)=O,CC(C)(O)C(O)(C)C,[CH3:7][C:5]([CH3:8])=[C:2]([CH3:1])[CH3:3].[O:6]=[Os](=O)(=O)=[O:4]>>[CH3:1][C:2]([CH3:3])([OH:4])[C:5]([OH:6])([CH3:7])[CH3:8],OsO4,[OH;D1;+0:1]-[C;H0;D4;+0:3]-[C;H0;D4;+0:4]-[OH;D1;+0:2]>>O=[Os](=O)(=[O;H0;D1;+0:1])=[O;H0;D1;+0:2].[C;H0;D3;+0:3]=[C;H0;D3;+0:4],[C;D1;H3:3]-[C;H0;D4;+0:4](-[C;D1;H3:5])(-[OH;D1;+0:1])-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[C;D1;H3:8])-[OH;D1;+0:2]>>O=[Os](=O)(=[O;H0;D1;+0:1])=[O;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[C;H0;D3;+0:6](-[C;D1;H3:7])-[C;D1;H3:8]
197,CC(C)=CC.O=[Os](=O)(=O)=O,CC(C)(O)C(O)C,[CH3:1][C:2]([CH3:3])=[CH:5][CH3:7].O=[Os](=O)(=[O:4])=[O:6]>>[CH3:1][C:2]([CH3:3])([OH:4])[CH:5]([OH:6])[CH3:7],OsO4,[OH;D1;+0:1]-[C;H0;D4;+0:3]-[CH;D3;+0:4]-[OH;D1;+0:2]>>O=[Os](=O)(=[O;H0;D1;+0:1])=[O;H0;D1;+0:2].[C;H0;D3;+0:3]=[CH;D2;+0:4],[C;D1;H3:3]-[C;H0;D4;+0:4](-[C;D1;H3:5])(-[OH;D1;+0:1])-[CH;D3;+0:6](-[C;D1;H3:7])-[OH;D1;+0:2]>>O=[Os](=O)(=[O;H0;D1;+0:1])=[O;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:6]-[C;D1;H3:7]
198,CC=CC.O=[Os](=O)(=O)=O,CC(O)C(O)C,[CH3:1][CH:2]=[CH:4][CH3:6].[O:5]=[Os](=O)(=O)=[O:3]>>[CH3:1][CH:2]([OH:3])[CH:4]([OH:5])[CH3:6],OsO4,[OH;D1;+0:1]-[CH;D3;+0:3]-[CH;D3;+0:4]-[OH;D1;+0:2]>>O=[Os](=O)(=[O;H0;D1;+0:1])=[O;H0;D1;+0:2].[CH;D2;+0:3]=[CH;D2;+0:4],[C;D1;H3:3]-[CH;D3;+0:4](-[OH;D1;+0:1])-[CH;D3;+0:5](-[C;D1;H3:6])-[OH;D1;+0:2]>>O=[Os](=O)(=[O;H0;D1;+0:1])=[O;H0;D1;+0:2].[C;D1;H3:3]-[CH;D2;+0:4]=[CH;D2;+0:5]-[C;D1;H3:6]
199,O=[N+]([O-])c1ccc(Cl)cc1.O,O=[N+]([O-])c1ccc(O)cc1,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7](Cl)[cH:9][cH:10]1.[OH2:8]>>[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]([OH:8])[cH:9][cH:10]1,"1) 15% NaOH, 160 C; 2) H+",[OH;D1;+0:2]-[c;H0;D3;+0:1]>>Cl-[c;H0;D3;+0:1].[OH2;D0;+0:2],[OH;D1;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[OH2;D0;+0:4]
200,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1.O,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]([N+:7](=[O:8])[O-:9])[c:10](Cl)[c:12]([N+:13](=[O:14])[O-:15])[cH:16]1.[OH2:11]>>[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]([N+:7](=[O:8])[O-:9])[c:10]([OH:11])[c:12]([N+:13](=[O:14])[O-:15])[cH:16]1,"H2O, heating",[OH;D1;+0:2]-[c;H0;D3;+0:1]>>Cl-[c;H0;D3;+0:1].[OH2;D0;+0:2],[OH;D1;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[OH2;D0;+0:4]
201,CC(C)=C(C)C.[K+].O=[Mn]([O-])(=O)=O,CC(C)(O)C(C)(O)C,[CH3:6][C:5]([CH3:8])=[C:2]([CH3:1])[CH3:3].[K+].O=[Mn]([O-:7])(=O)=[O:4]>>[CH3:1][C:2]([CH3:3])([OH:4])[C:5]([CH3:6])([OH:7])[CH3:8],"dil., KMnO4",[OH;D1;+0:2]-[C;H0;D4;+0:3]-[C;H0;D4;+0:4]-[OH;D1;+0:1]>>O=[Mn](=O)(-[O-;H0;D1:1])=[O;H0;D1;+0:2].[C;H0;D3;+0:3]=[C;H0;D3;+0:4],[C;D1;H3:3]-[C;H0;D4;+0:4](-[C;D1;H3:5])(-[OH;D1;+0:2])-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[C;D1;H3:8])-[OH;D1;+0:1]>>O=[Mn](=O)(-[O-;H0;D1:1])=[O;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[C;H0;D3;+0:6](-[C;D1;H3:7])-[C;D1;H3:8]
202,CC=CC.[K+].O=[Mn]([O-])(=O)=O,CC(O)C(O)C,[CH3:1][CH:2]=[CH:4][CH3:6].[K+].O=[Mn]([O-:5])(=O)=[O:3]>>[CH3:1][CH:2]([OH:3])[CH:4]([OH:5])[CH3:6],"dil., KMnO4",[OH;D1;+0:2]-[CH;D3;+0:3]-[CH;D3;+0:4]-[OH;D1;+0:1]>>O=[Mn](=O)(-[O-;H0;D1:1])=[O;H0;D1;+0:2].[CH;D2;+0:3]=[CH;D2;+0:4],[C;D1;H3:3]-[CH;D3;+0:4](-[OH;D1;+0:2])-[CH;D3;+0:5](-[C;D1;H3:6])-[OH;D1;+0:1]>>O=[Mn](=O)(-[O-;H0;D1:1])=[O;H0;D1;+0:2].[C;D1;H3:3]-[CH;D2;+0:4]=[CH;D2;+0:5]-[C;D1;H3:6]
203,CC=C(C)C.[K+].O=[Mn]([O-])(=O)=O,CC(O)C(C)(O)C,[CH3:1][CH:2]=[C:4]([CH3:5])[CH3:7].[K+].O=[Mn]([O-:6])(=O)=[O:3]>>[CH3:1][CH:2]([OH:3])[C:4]([CH3:5])([OH:6])[CH3:7],"dil., KMnO4",[OH;D1;+0:2]-[CH;D3;+0:4]-[C;H0;D4;+0:3]-[OH;D1;+0:1]>>O=[Mn](=O)(-[O-;H0;D1:1])=[O;H0;D1;+0:2].[C;H0;D3;+0:3]=[CH;D2;+0:4],[C;D1;H3:3]-[CH;D3;+0:4](-[OH;D1;+0:2])-[C;H0;D4;+0:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[OH;D1;+0:1]>>O=[Mn](=O)(-[O-;H0;D1:1])=[O;H0;D1;+0:2].[C;D1;H3:3]-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C;D1;H3:6])-[C;D1;H3:7]
204,Cc1ccccc1.OS(=O)(=O)O,Cc1ccc(S(=O)(=O)O)cc1,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:10][cH:11]1.O[S:6](=[O:7])(=[O:8])[OH:9]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[OH:9])[cH:10][cH:11]1,H2SO4,[S;H0;D4;+0:1]-[c;H0;D3;+0:2]>>O-[S;H0;D4;+0:1].[cH;D2;+0:2],[O;D1;H0:2]=[S;H0;D4;+0:1](=[O;D1;H0:3])(-[O;D1;H1:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>O-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[O;D1;H1:4].[c:5]:[cH;D2;+0:6]:[c:7]
205,Cc1ccccc1.OS(=O)(=O)O,Cc1c(S(=O)(=O)O)cccc1,[CH3:1][c:2]1[cH:3][cH:8][cH:9][cH:10][cH:11]1.O[S:4](=[O:5])(=[O:6])[OH:7]>>[CH3:1][c:2]1[c:3]([S:4](=[O:5])(=[O:6])[OH:7])[cH:8][cH:9][cH:10][cH:11]1,H2SO4,[S;H0;D4;+0:1]-[c;H0;D3;+0:2]>>O-[S;H0;D4;+0:1].[cH;D2;+0:2],[O;D1;H0:2]=[S;H0;D4;+0:1](=[O;D1;H0:3])(-[O;D1;H1:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>O-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[O;D1;H1:4].[c:5]:[cH;D2;+0:6]:[c:7]
206,Oc1ccccc1.OS(=O)(=O)O,Oc1ccc(S(=O)(=O)O)cc1,[OH:1][c:2]1[cH:3][cH:4][cH:5][cH:10][cH:11]1.O[S:6](=[O:7])(=[O:8])[OH:9]>>[OH:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[OH:9])[cH:10][cH:11]1,"X2,conc. H2SO4",[S;H0;D4;+0:1]-[c;H0;D3;+0:2]>>O-[S;H0;D4;+0:1].[cH;D2;+0:2],[O;D1;H0:2]=[S;H0;D4;+0:1](=[O;D1;H0:3])(-[O;D1;H1:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>O-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[O;D1;H1:4].[c:5]:[cH;D2;+0:6]:[c:7]
207,CC(=O)O.CO,CC(=O)OC,[CH3:1][C:2](=[O:3])[OH:4].[CH3:5]O>>[CH3:1][C:2](=[O:3])[O:4][CH3:5],H+,[CH3;D1;+0:1]-[O;H0;D2;+0:2]>>O-[CH3;D1;+0:1].[OH;D1;+0:2],[C;D1;H3:2]-[C:3](=[O;D1;H0:4])-[O;H0;D2;+0:5]-[CH3;D1;+0:1]>>O-[CH3;D1;+0:1].[C;D1;H3:2]-[C:3](=[O;D1;H0:4])-[OH;D1;+0:5]
208,CC(=O)O.CCO,CC(=O)OCC,[CH3:1][C:2](=[O:3])O.[CH3:6][CH2:5][OH:4]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH3:6],H+,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>O-[C;H0;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5]
209,CC(=O)O.OC(C)C,CC(=O)OC(C)C,[CH3:1][C:2](=[O:3])[OH:4].O[CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2](=[O:3])[O:4][CH:5]([CH3:6])[CH3:7],H+,[CH;D3;+0:1]-[O;H0;D2;+0:2]>>O-[CH;D3;+0:1].[OH;D1;+0:2],[C;D1;H3:4]-[C:5](=[O;D1;H0:6])-[O;H0;D2;+0:7]-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>O-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[C;D1;H3:4]-[C:5](=[O;D1;H0:6])-[OH;D1;+0:7]
210,CC(=O)O.OC(C)(C)C,CC(=O)OC(C)(C)C,[CH3:1][C:2](=[O:3])[OH:4].O[C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH3:1][C:2](=[O:3])[O:4][C:5]([CH3:6])([CH3:7])[CH3:8],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:2]>>O-[C;H0;D4;+0:1].[OH;D1;+0:2],[C;D1;H3:5]-[C:6](=[O;D1;H0:7])-[O;H0;D2;+0:8]-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4]>>O-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].[C;D1;H3:5]-[C:6](=[O;D1;H0:7])-[OH;D1;+0:8]
211,CC(=O)Cl.CO,CC(=O)OC,[CH3:1][C:2](=[O:3])Cl.[CH3:5][OH:4]>>[CH3:1][C:2](=[O:3])[O:4][CH3:5],py,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>Cl-[C;H0;D3;+0:1].[OH;D1;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:5]-[C;D1;H3:4]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C;D1;H3:4]-[OH;D1;+0:5]
212,CC(=O)Cl.CCO,CC(=O)OCC,[CH3:1][C:2](=[O:3])Cl.[CH3:6][CH2:5][OH:4]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH3:6],py,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>Cl-[C;H0;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5]
213,CC(=O)Cl.OC(C)C,CC(=O)OC(C)C,[CH3:1][C:2](=[O:3])Cl.[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2](=[O:3])[O:4][CH:5]([CH3:6])[CH3:7],py,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>Cl-[C;H0;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5]
214,CC(=O)Cl.OC(C)(C)C,CC(=O)OC(C)(C)C,[CH3:1][C:2](=[O:3])Cl.[OH:4][C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH3:1][C:2](=[O:3])[O:4][C:5]([CH3:6])([CH3:7])[CH3:8],py,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>Cl-[C;H0;D3;+0:1].[OH;D1;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:8]-[C:5](-[C;D1;H3:4])(-[C;D1;H3:6])-[C;D1;H3:7]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C;D1;H3:4]-[C:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[OH;D1;+0:8]
