reaction_id,reaction_name,Reactant,Product,reaction,R1,R2,R3,condition,source,chapter
5-049,Diels-Alder [4+2] cycloaddition with connectivity pattern D,C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j],C1([R1i])=C([R1b])C([R1j])([R1d])C([R1e])([R1f])C([R1g])([R1h])C1([R1a])[R1c],C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j]>>C1([R1i])=C([R1b])C([R1j])([R1d])C([R1e])([R1f])C([R1g])([R1h])C1([R1a])[R1c],H;methyl,,,,slot-compression prototype,5
5-050,Diels-Alder [4+2] cycloaddition with connectivity pattern E,C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j],C1([R1b])=C([R1g])C([R1j])([R1i])C([R1d])([R1e])C([R1c])([R1a])C1([R1f])[R1h],C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j]>>C1([R1b])=C([R1g])C([R1j])([R1i])C([R1d])([R1e])C([R1c])([R1a])C1([R1f])[R1h],H;methyl,,,,slot-compression prototype,5
5-051,"Diels-Alder reaction of 1,3-pentadiene with methyl acrylate",C=C/C=C/C.C=CC(=O)OC,COC(=O)C1CCC=CC1C,C=C/C=C/C.C=CC(=O)OC>>COC(=O)C1CCC=CC1C,,,,,normalized_template_witnesses.json,5
5-052,Preparation of peroxy acids from carboxylic acids and hydrogen peroxide,O=CO.OO,O=COO,O=CO.OO>>O=COO,,,,H2O2,library_1270_chapter_templates.json,5
6-001,Desulfonation of arenes under acidic conditions,[R1a]S(=O)(=O)O,[R1a],[R1a]S(=O)(=O)O>>[R1a],aryl,,,H3O+,library_1270_chapter_templates.json,6
6-002,Electrophilic halogenation of arenes,[R1a].[X][X],[R1a][X],[R1a].[X][X]>>[R1a][X],aryl,,,"AlCl3 | Cl2,H+,non-polar solvent | AlBr3",library_1270_chapter_templates.json,6
6-003,Catalytic hydrogenation of benzene to cyclohexane,c1ccccc1,C1CCCCC1,c1ccccc1>>C1CCCCC1,,,,"H2,Ni,150-200 °C,150 atm",library_1270_chapter_templates.json,6
6-004,Wittig olefination of carbonyl compounds with substituted phosphoranes,[R1a]=O.[R2b]P(=[R3c])([R2d])[R2e],[R1a]=[R3c],[R1a]=O.[R2b]P(=[R3c])([R2d])[R2e]>>[R1a]=[R3c],methyl;primary;secondary,aryl,methyl;primary,,library_1270_chapter_templates.json,6
6-005,Wittig olefination of ketones with phosphorus ylides,O=C([R1a])[R1b].[R2c]P(=[R1d])([R2e])[R2f],C([R1a])(=[R1b])[R1d],O=C([R1a])[R1b].[R2c]P(=[R1d])([R2e])[R2f]>>C([R1a])(=[R1b])[R1d],primary,aryl,,,library_1270_chapter_templates.json,6
6-006,Wittig olefination of 3-pentanone,C=P(c1ccccc1)(c1ccccc1)c1ccccc1.CCC(=O)CC,C=C(CC)CC,C=P(c1ccccc1)(c1ccccc1)c1ccccc1.CCC(=O)CC>>C=C(CC)CC,,,,,normalized_template_witnesses.json,6
6-007,Electrophilic nitration of arenes,[R1a].O=[N+]([O-])O,[R1a][N+](=O)[O-],[R1a].O=[N+]([O-])O>>[R1a][N+](=O)[O-],aryl,,,"20% HNO3 | H2SO4,HNO3 | H2SO4,HNO3",library_1270_chapter_templates.json,6
6-008,Benzylic free-radical halogenation of alkylbenzenes,[R1a].[X][X],[R1a][X],[R1a].[X][X]>>[R1a][X],benzyl;secondary_benzylic,,,"Cl2, hv | Br2,hv or high temperature | Br2, hv",library_1270_chapter_templates.json,6
6-009,Addition chlorination of benzene to hexachlorocyclohexane,[X][X].[X][X].[X][X].c1ccccc1,C1([X])C([X])C([X])C([X])C([X])C1[X],[X][X].[X][X].[X][X].c1ccccc1>>C1([X])C([X])C([X])C([X])C([X])C1[X],,,,"Cl2, hv or ROOR",library_1270_chapter_templates.json,6
6-010,Benzylic bromination of propylbenzene,BrBr.CCCc1ccccc1,CCC(Br)c1ccccc1,BrBr.CCCc1ccccc1>>CCC(Br)c1ccccc1,,,,"Br2, hv",normalized_template_witnesses.json,6
6-011,Oxidation of benzylic side chains to aldehydes with chromium trioxide,[R1a].O=[Cr](=O)=O,[R1a]=O,[R1a].O=[Cr](=O)=O>>[R1a]=O,benzyl,,,"1) CrO3,HOAc; 2)H2O",library_1270_chapter_templates.json,6
6-012,Oxidation of alkylbenzene side chains to benzoic acids with permanganate,C([R1a])[R2b].O=[Mn](=O)(=O)[O-],O=C(O)[R1a],C([R1a])[R2b].O=[Mn](=O)(=O)[O-]>>O=C(O)[R1a],aryl,methyl,,"KMnO4,heating",library_1270_chapter_templates.json,6
6-013,Electrophilic sulfonation of arenes,[R1a].O=S(=O)(O)O,[R1a]S(=O)(=O)O,[R1a].O=S(=O)(O)O>>[R1a]S(=O)(=O)O,aryl,,,"H2SO4, 0-60 °C | X2,conc. H2SO4 | H2SO4 | X2,conc. H2SO4",library_1270_chapter_templates.json,6
6-014,Formation of arylsulfonate esters from sulfonyl halides and alcohols,[R1a]S(=O)(=O)[X].[R2b]O,[R1a]S(=O)(=O)O[R2b],[R1a]S(=O)(=O)[X].[R2b]O>>[R1a]S(=O)(=O)O[R2b],aryl,methyl;primary;tertiary,,py,library_1270_chapter_templates.json,6
6-015,Friedel-Crafts acylation of arenes,O=C([X])[R1a].[R2b],O=C([R1a])[R2b],O=C([X])[R1a].[R2b]>>O=C([R1a])[R2b],methyl;primary,aryl,,AlCl3,library_1270_chapter_templates.json,6
6-016,Friedel-Crafts alkylation of arenes with substituted alkyl halides,C(C[X])[R1a].[R2b],CC([R1a])[R2b],C(C[X])[R1a].[R2b]>>CC([R1a])[R2b],methyl,aryl,,AlCl3,library_1270_chapter_templates.json,6
6-017,Friedel-Crafts alkylation of arenes with primary alkyl halides,[R1a][X].[R2b],[R1a][R2b],[R1a][X].[R2b]>>[R1a][R2b],primary,aryl,,AlCl3,library_1270_chapter_templates.json,6
6-018,Friedel-Crafts alkylation of arenes with alkenes,C=[R1a].[R2b],C([R1a])[R2b],C=[R1a].[R2b]>>C([R1a])[R2b],methyl,aryl,,AlCl3,library_1270_chapter_templates.json,6
7-001,Conversion of alcohols to alkyl halides with phosphorus trihalides,[R1a]O.[X]P([X])[X],[R1a][X],[R1a]O.[X]P([X])[X]>>[R1a][X],methyl;primary;secondary;tertiary,,,PCl3 or POCl3 or SOCl2 | PCl3 | PCl3 or POCl3 or SOCl2 | PBr3 | PBr3 or POBr3 | PBr3 or POBr3,library_1270_chapter_templates.json,7
7-002,Conversion of primary alcohols to alkyl chlorides with thionyl chloride,[R1a]O.O=S([X])[X],[R1a][X],[R1a]O.O=S([X])[X]>>[R1a][X],primary,,,SOCl2,library_1270_chapter_templates.json,7
7-003,Halogenation of phenol in neutral or basic medium,c1ccccc1.[X][X].[X][X],[X]c1cc([X])cc([X])c1,c1ccccc1.[X][X].[X][X]>>[X]c1cc([X])cc([X])c1,,,,"neutral or alkaline | Cl2, neutral or alkaline",library_1270_chapter_templates.json,7
7-004,Conversion of 1-propanol to 1-bromopropane with phosphorus tribromide,BrP(Br)Br.CCCO,CCCBr,BrP(Br)Br.CCCO>>CCCBr,,,,,normalized_template_witnesses.json,7
7-005,Oxidation of primary and secondary alcohols to carbonyl compounds,[R1a]O,[R1a]=O,[R1a]O>>[R1a]=O,primary;secondary,,,"CuCrO4 | PCC(Py2.CrO3),DCM | I2 | PCC | CuCrO4 | KMnO4,OH-",library_1270_chapter_templates.json,7
7-006,Oxidative cleavage of vicinal diols with periodic acid or lead tetraacetate,OC(C(O)[R1a])[R1b],O=C[R1b],OC(C(O)[R1a])[R1b]>>O=C[R1b],methyl,,,HIO4 | Pb(OAc)4,library_1270_chapter_templates.json,7
7-007,Oxidative decarboxylation of alpha-hydroxy carboxylic acids,O=C(O)C(O)[R1a],O=C[R1a],O=C(O)C(O)[R1a]>>O=C[R1a],methyl,,,Pb(OAc)4,library_1270_chapter_templates.json,7
7-008,Oxidative cleavage of alpha-hydroxy ketones to carboxylic acids,O=C(C(O)[R1a])[R1b],O=C(O)[R1a],O=C(C(O)[R1a])[R1b]>>O=C(O)[R1a],methyl,,,HIO4 | Pb(OAc)4,library_1270_chapter_templates.json,7
7-009,Oxidation of primary alcohols to carboxylic acids with permanganate,OC[R1a].O=[Mn](=O)(=O)[O-],O=C(O)[R1a],OC[R1a].O=[Mn](=O)(=O)[O-]>>O=C(O)[R1a],methyl;primary,,,"KMnO4 | KMnO4,OH-",library_1270_chapter_templates.json,7
7-010,Carboxylation of arylmagnesium intermediates with carbon dioxide,[R1a].O=C=O,O=C(O)[R1a],[R1a].O=C=O>>O=C(O)[R1a],aryl,,,"1.Br2; 2.Mg,THF; 3.CO2 | NaOH",library_1270_chapter_templates.json,7
7-011,Oxidation of secondary alcohols to ketones with PCC,CCC(O)CC,CCC(=O)CC,CCC(O)CC>>CCC(=O)CC,,,,PCC,normalized_template_witnesses.json,7
7-012,Oxidation of primary alcohols to aldehydes with PCC,CCCO,CCC=O,CCCO>>CCC=O,,,,PCC,normalized_template_witnesses.json,7
7-013,Formation of sulfonate esters from alcohols,[R1a]S(=O)(=O)[X].[R1b]O,[R1a]S(=O)(=O)O[R1b],[R1a]S(=O)(=O)[X].[R1b]O>>[R1a]S(=O)(=O)O[R1b],primary,,,,library_1270_chapter_templates.json,7
7-014,Acid-catalyzed dehydration of substituted alcohols,OC([R1a])([R2b])[R3c],C([R1a])([R2b])=[R3c],OC([R1a])([R2b])[R3c]>>C([R1a])([R2b])=[R3c],H;methyl,H;methyl;aryl,methyl;primary;secondary,H2SO5 | H+ | H2SO4,library_1270_chapter_templates.json,7
7-015,Acid-catalyzed dehydration of beta-substituted alcohols,OCC([R1a])[R1b],CC([R1a])=[R1b],OCC([R1a])[R1b]>>CC([R1a])=[R1b],methyl,,,H2SO4,library_1270_chapter_templates.json,7
7-016,Esterification of alcohols with acid anhydrides,O=C(OC(=O)[R1a])[R1b].[R2c]O,O=C(O[R2c])[R1b],O=C(OC(=O)[R1a])[R1b].[R2c]O>>O=C(O[R2c])[R1b],methyl,primary,,H+,library_1270_chapter_templates.json,7
7-017,Fischer esterification of carboxylic acids with alcohols,O=C(O)[R1a].[R2b]O,O=C(O[R2b])[R1a],O=C(O)[R1a].[R2b]O>>O=C(O[R2b])[R1a],H;methyl;primary,methyl;primary;tertiary,,H+,library_1270_chapter_templates.json,7
7-018,Fischer esterification of nicotinic acid with alcohols,[R1a]O.O=C(O)c1ccccn1,O=C(O[R1a])c1ccccn1,[R1a]O.O=C(O)c1ccccn1>>O=C(O[R1a])c1ccccn1,methyl,,,H2SO4,library_1270_chapter_templates.json,7
8-001,Base-promoted ring opening of substituted epoxides with secondary amines,C1OC1([R1a])[R1b].[R2c]N[R2d],OCC(N([R2c])[R2d])([R1a])[R1b],C1OC1([R1a])[R1b].[R2c]N[R2d]>>OCC(N([R2c])[R2d])([R1a])[R1b],H;methyl,methyl;primary,,Base,library_1270_chapter_templates.json,8
8-002,Ring opening of ethylene oxide with substituted amines,C(N[R1a])[R2b].C1CO1,OCCN(C[R2b])[R1a],C(N[R1a])[R2b].C1CO1>>OCCN(C[R2b])[R1a],primary,methyl,,Base,library_1270_chapter_templates.json,8
8-003,Base-promoted ring opening of substituted epoxides with primary amines,C1OC1([R1a])[R1b].[R2c]N,OCC(N[R2c])([R1a])[R1b],C1OC1([R1a])[R1b].[R2c]N>>OCC(N[R2c])([R1a])[R1b],H;methyl,methyl;primary,,Base,library_1270_chapter_templates.json,8
8-004,Acid-promoted ring opening of nitrile-substituted epoxides,N#CCC1OC1([R1a])[R1b],CC(O)C(C#N)([R1a])[R1b],N#CCC1OC1([R1a])[R1b]>>CC(O)C(C#N)([R1a])[R1b],methyl,,,H+,library_1270_chapter_templates.json,8
8-005,Acid-promoted rearrangement of cyano-substituted epoxides,N#CC1OC1([R1a])[R2b],N#CC(CO)([R1a])[R2b],N#CC1OC1([R1a])[R2b]>>N#CC(CO)([R1a])[R2b],H;methyl,methyl,,H+,library_1270_chapter_templates.json,8
8-006,Base-promoted ring opening of substituted epoxides with cyanide,C1OC1([R1a])[R1b].C#N,N#CC(CO)([R1a])[R1b],C1OC1([R1a])[R1b].C#N>>N#CC(CO)([R1a])[R1b],H;methyl,,,Base,library_1270_chapter_templates.json,8
8-007,Acid-catalyzed hydrolysis of cyano-substituted epoxides,N#CC1CO1,N#CCCO,N#CC1CO1>>N#CCCO,,,,H+,library_1270_chapter_templates.json,8
8-008,Ring opening of substituted epoxides with ammonia,C1OC1([R1a])[R1b].N,NC(CO)([R1a])[R1b],C1OC1([R1a])[R1b].N>>NC(CO)([R1a])[R1b],H;methyl,,,Base,library_1270_chapter_templates.json,8
8-009,Acid-catalyzed ring opening of substituted epoxides with hydrogen halides,C1OC1([R1a])[R1b].[XH],OCC([X])([R1a])[R1b],C1OC1([R1a])[R1b].[XH]>>OCC([X])([R1a])[R1b],H;methyl,,,Base | H+,library_1270_chapter_templates.json,8
8-010,Acid-catalyzed hydrolysis of ethylene oxide to ethylene glycol,C1CO1.O,OCCO,C1CO1.O>>OCCO,,,,H+,library_1270_chapter_templates.json,8
8-011,Ring opening of substituted epoxides with Grignard reagents,C1OC1([R1a])[R1b].[R2c][Mg][X],OCC([R2c])([R1a])[R1b],C1OC1([R1a])[R1b].[R2c][Mg][X]>>OCC([R2c])([R1a])[R1b],H;methyl,methyl;primary;secondary;tertiary,,Base,library_1270_chapter_templates.json,8
8-012,Ring opening of substituted epoxides with alcohols or alkoxides,C1OC1([R1a])[R1b].[R2c]O,OCC(O[R2c])([R1a])[R1b],C1OC1([R1a])[R1b].[R2c]O>>OCC(O[R2c])([R1a])[R1b],H;methyl,methyl;primary;tertiary;aryl,,H+ | Base | Base | H+,library_1270_chapter_templates.json,8
8-013,Ring opening of ethylene oxide with propylmagnesium bromide,C1CO1.CCC[Mg]Br,CCCCCO,C1CO1.CCC[Mg]Br>>CCCCCO,,,,,normalized_template_witnesses.json,8
8-014,Prilezhaev epoxidation of tetrasubstituted alkenes,C(=C([R1a])[R1b])([R1c])[R1d].OO,O1C([R1c])([R1d])C1([R1a])[R1b],C(=C([R1a])[R1b])([R1c])[R1d].OO>>O1C([R1c])([R1d])C1([R1a])[R1b],methyl,,,RCOOOH,library_1270_chapter_templates.json,8
8-015,Williamson ether synthesis,[R1a][X].[R2b]O,[R1a]O[R2b],[R1a][X].[R2b]O>>[R1a]O[R2b],methyl;primary;secondary;tertiary,methyl;primary;tertiary,,Base,library_1270_chapter_templates.json,8
9-001,Acid-catalyzed hydrolysis of acetals to carbonyl compounds,O(C(O[R1a])([R1b])[R1c])[R1d],O=C([R1b])[R1c],O(C(O[R1a])([R1b])[R1c])[R1d]>>O=C([R1b])[R1c],methyl,,,,library_1270_chapter_templates.json,9
9-002,Formation of acyl halides from carboxylic acids,O=C(O)[R1a].[X]P([X])[X],O=C([X])[R1a],O=C(O)[R1a].[X]P([X])[X]>>O=C([X])[R1a],methyl;primary,,,PBr3 or POBr3 | PCl3 or POCl3 or SOCl2,library_1270_chapter_templates.json,9
9-003,Alcoholysis of acyl halides to esters,O=C([X])[R1a].[R2b]O,O=C(O[R2b])[R1a],O=C([X])[R1a].[R2b]O>>O=C(O[R2b])[R1a],methyl,methyl;primary;tertiary,,py,library_1270_chapter_templates.json,9
9-004,Reduction of acyl halides to primary alcohols,O=C([X])[R1a],OC[R1a],O=C([X])[R1a]>>OC[R1a],methyl,,,"H2, Pd or Ni | LiAlH4, diethyl etherorTHF | NaBH4, alcohol",library_1270_chapter_templates.json,9
9-005,Aldol addition of formaldehyde to enolizable aldehydes,C=O.O=CC[R1a],O=CC(CO)[R1a],C=O.O=CC[R1a]>>O=CC(CO)[R1a],H;methyl,,,H+,library_1270_chapter_templates.json,9
9-006,Intramolecular aldol condensation to cyclohexenones,CC(=O)C=CCC(=O)[R1a],O=C1C=CCC([R1a])=C1,CC(=O)C=CCC(=O)[R1a]>>O=C1C=CCC([R1a])=C1,methyl,,,H+,library_1270_chapter_templates.json,9
9-007,Crossed aldol condensation of acetaldehyde with dicarbonyl compounds,CC=O.O=C(CC(=O)[R1a])[R1b],O=CC=C(CC(=O)[R1b])[R1a],CC=O.O=C(CC(=O)[R1a])[R1b]>>O=CC=C(CC(=O)[R1b])[R1a],methyl,,,H+,library_1270_chapter_templates.json,9
9-008,Aldol condensation of aldehydes and ketones,CC=O.O=[R1a],O=CC=[R1a],CC=O.O=[R1a]>>O=CC=[R1a],methyl;primary;secondary;benzyl;secondary_benzylic,,,H+ or NaOH | H+,library_1270_chapter_templates.json,9
9-009,Dehydration of primary amides to nitriles,NC(=O)[R1a],N#C[R1a],NC(=O)[R1a]>>N#C[R1a],methyl,,,P2O5 | SOCl2,library_1270_chapter_templates.json,9
9-010,Amide formation from carboxylic acids and ammonia,O=C(O)[R1a].N,NC(=O)[R1a],O=C(O)[R1a].N>>NC(=O)[R1a],methyl,,,,library_1270_chapter_templates.json,9
9-011,Formation of cyclic imides from dicarboxylic acids and ammonia,N.O=C(O)CC(=O)CC(=O)O,O=C1CC(=O)NC(=O)C1,N.O=C(O)CC(=O)CC(=O)O>>O=C1CC(=O)NC(=O)C1,,,,PBr3,library_1270_chapter_templates.json,9
9-012,Amide formation from carboxylic acids and primary amines,O=C(O)[R1a].[R2b]N,O=C(N[R2b])[R1a],O=C(O)[R1a].[R2b]N>>O=C(N[R2b])[R1a],methyl,primary,,,library_1270_chapter_templates.json,9
9-013,Aminolysis of acyl halides to amides,O=C([X])[R1a].[R2b]N,O=C(N[R2b])[R1a],O=C([X])[R1a].[R2b]N>>O=C(N[R2b])[R1a],methyl,primary,,,library_1270_chapter_templates.json,9
9-014,Partial reduction of cyclic imides to lactams with lithium aluminum hydride,O=C1CC(=O)NC(=O)C1,O=C1CCNCC1,O=C1CC(=O)NC(=O)C1>>O=C1CCNCC1,,,,LiAlH4,library_1270_chapter_templates.json,9
9-015,Reduction of amides to amines,O=C(N[R1a])[R1b],C(N[R1a])[R1b],O=C(N[R1a])[R1b]>>C(N[R1a])[R1b],methyl,,,"(BH3)2 | LiAlH4, diethyl etherorTHF",library_1270_chapter_templates.json,9
9-016,Thermal amide formation from ammonium carboxylates,O=C(O)[R1a].N,NC(=O)[R1a],O=C(O)[R1a].N>>NC(=O)[R1a],primary,,,heating,library_1270_chapter_templates.json,9
9-017,Schmidt rearrangement of ketones to amides,O=C([R1a])[R2b].[N-]=[N+]=N,O=C(N[R2b])[R1a],O=C([R1a])[R2b].[N-]=[N+]=N>>O=C(N[R2b])[R1a],methyl,methyl;primary;secondary;tertiary,,1)H+ 2)Heat 3)H2O,library_1270_chapter_templates.json,9
9-018,Wolff rearrangement of aryl diazoketones to amides,[N-]=[N+]=CC(=O)[R1a],NC(=O)[R1a],[N-]=[N+]=CC(=O)[R1a]>>NC(=O)[R1a],aryl,,,Ag2O,library_1270_chapter_templates.json,9
9-019,Wolff rearrangement of alkyl diazoketones with one-carbon homologation,[N-]=[N+]=CC(=O)[R1a],NC(=O)C[R1a],[N-]=[N+]=CC(=O)[R1a]>>NC(=O)C[R1a],primary;secondary;tertiary,,,Ag2O,library_1270_chapter_templates.json,9
9-020,"Cyclic acetal formation from carbonyl compounds and 1,3-propanediol",O=C([R1a])[R1b].OCCCO,C1COC([R1a])([R1b])OC1,O=C([R1a])[R1b].OCCCO>>C1COC([R1a])([R1b])OC1,methyl,,,,library_1270_chapter_templates.json,9
9-021,Corey-Chaykovsky epoxidation of ketones with sulfur ylides,C=S([R1a])[R1b].O=C(C[R1c])[R2d],C1OC1(C[R1c])[R2d],C=S([R1a])[R1b].O=C(C[R1c])[R2d]>>C1OC1(C[R1c])[R2d],methyl,primary,,,library_1270_chapter_templates.json,9
9-022,Corey-Chaykovsky epoxidation of methyl ketones with sulfoxonium ylides,CC(=O)[R1a].S(=[R1b])([R1c])[R1d],C1OC1([R1c])[R1a],CC(=O)[R1a].S(=[R1b])([R1c])[R1d]>>C1OC1([R1c])[R1a],methyl,,,,library_1270_chapter_templates.json,9
9-023,Corey-Chaykovsky epoxidation of aldehydes with sulfoxonium ylides,CS(=[R1a])[R1b].O=C[R2c],C1OC1[R2c],CS(=[R1a])[R1b].O=C[R2c]>>C1OC1[R2c],methyl,H;methyl,,,library_1270_chapter_templates.json,9
9-024,Alkylation of malonate derivatives with halo carbonyl compounds,O=C(CC(=O)O[R1a])O[R1b].O=C(CC([R2c])[X])[R1d],O=C(O[R1b])C(C(=O)O[R1a])C(CC(=O)[R1d])[R2c],O=C(CC(=O)O[R1a])O[R1b].O=C(CC([R2c])[X])[R1d]>>O=C(O[R1b])C(C(=O)O[R1a])C(CC(=O)[R1d])[R2c],methyl,aryl,,Base,library_1270_chapter_templates.json,9
9-025,"Alpha-alkylation of 1,3-dicarbonyl compounds",O=C(C(C(=O)[R1a])[R2b])[R1c].[R1d][X],O=C(C(C(=O)[R1a])([R1d])[R2b])[R1c],O=C(C(C(=O)[R1a])[R2b])[R1c].[R1d][X]>>O=C(C(C(=O)[R1a])([R1d])[R2b])[R1c],methyl,H;methyl,,Base,library_1270_chapter_templates.json,9
9-026,Alpha-alkylation of beta-keto ester enolates,O=C(O[R1a])C(C(=O)[R1b])[R2c].[R3d][X],O=C(O[R1a])C(C(=O)[R1b])([R3d])[R2c],O=C(O[R1a])C(C(=O)[R1b])[R2c].[R3d][X]>>O=C(O[R1a])C(C(=O)[R1b])([R3d])[R2c],methyl,H;primary,primary,Base,library_1270_chapter_templates.json,9
9-027,Alpha-alkylation of ketone enolates with LDA,O=C(C([R1a])[R1b])[R2c].[R3d][X],O=C(C([R3d])([R1a])[R1b])[R2c],O=C(C([R1a])[R1b])[R2c].[R3d][X]>>O=C(C([R3d])([R1a])[R1b])[R2c],H;methyl,methyl,methyl;primary;secondary,LDA,library_1270_chapter_templates.json,9
9-028,Alpha-alkylation of aldehydes,O=CC[R1a].[R2b][X],O=CC([R2b])[R1a],O=CC[R1a].[R2b][X]>>O=CC([R2b])[R1a],H;primary,methyl;primary;secondary,,LDA | H+ | tBuONa | Base | H+ | tBuONa,library_1270_chapter_templates.json,9
9-029,N-Alkylation of primary amides,NC(=O)[R1a].[R2b][X],O=C(N[R2b])[R1a],NC(=O)[R1a].[R2b][X]>>O=C(N[R2b])[R1a],methyl,methyl;primary;secondary,,LDA,library_1270_chapter_templates.json,9
9-030,Alpha-alkylation of methyl acetoacetate,CCCI.COC(=O)CC(C)=O,CCCC(C(C)=O)C(=O)OC,CCCI.COC(=O)CC(C)=O>>CCCC(C(C)=O)C(=O)OC,,,,Base,normalized_template_witnesses.json,9
9-031,Acid-catalyzed alpha-halogenation of ketones,O=C(C[R1a])[R1b].[X][X],O=C(C[X])[R1b],O=C(C[R1a])[R1b].[X][X]>>O=C(C[X])[R1b],methyl,,,,library_1270_chapter_templates.json,9
9-032,Alpha-halogenation of unsymmetrical ketones,O=C(C[R1a])C[R1b].[X][X],CC(=O)C([R1a])[X],O=C(C[R1a])C[R1b].[X][X]>>CC(=O)C([R1a])[X],methyl,,,,library_1270_chapter_templates.json,9
9-033,Hell-Volhard-Zelinsky alpha-halogenation of carboxylic acids,O=C(O)C([R1a])[R1b].[X][X],O=C(O)C([X])([R1a])[R1b],O=C(O)C([R1a])[R1b].[X][X]>>O=C(O)C([X])([R1a])[R1b],H;methyl,,,,library_1270_chapter_templates.json,9
9-034,Acid-catalyzed alpha-halogenation of aldehydes,O=CC([R1a])[R1b].[X][X],O=CC([X])([R1a])[R1b],O=CC([R1a])[R1b].[X][X]>>O=CC([X])([R1a])[R1b],H;methyl,,,H+,library_1270_chapter_templates.json,9
9-035,Base-promoted hydrolysis of formate esters,O=CO[R1a],O=CO,O=CO[R1a]>>O=CO,methyl;secondary;tertiary,,,NaOH,library_1270_chapter_templates.json,9
9-036,Cyanohydrin formation from aldehydes with cyanide,O=C[R1a].[C-]#N,N#CC(O)[R1a],O=C[R1a].[C-]#N>>N#CC(O)[R1a],primary,,,NaCN,library_1270_chapter_templates.json,9
9-037,Cyanohydrin formation from aldehydes and ketones,O=C([R1a])[R1b].C#N,N#CC(O)([R1a])[R1b],O=C([R1a])[R1b].C#N>>N#CC(O)([R1a])[R1b],H;methyl;primary,,,Base,library_1270_chapter_templates.json,9
9-038,Addition of acetylide anions to aldehydes and ketones,O=C([R1a])[R1b].[R2c],OC([R2c])([R1a])[R1b],O=C([R1a])[R1b].[R2c]>>OC([R2c])([R1a])[R1b],H;methyl;primary,alkynyl,,Base,library_1270_chapter_templates.json,9
9-039,Addition of propynide to 3-pentanone,C#CC.CCC(=O)CC,CC#CC(O)(CC)CC,C#CC.CCC(=O)CC>>CC#CC(O)(CC)CC,,,,Base,normalized_template_witnesses.json,9
9-040,Addition of propynide to formaldehyde,C#CC.C=O,CC#CCO,C#CC.C=O>>CC#CCO,,,,Base,normalized_template_witnesses.json,9
9-041,Addition of propynide to acetaldehyde,C#CC.CC=O,CC#CC(C)O,C#CC.CC=O>>CC#CC(C)O,,,,Base,normalized_template_witnesses.json,9
9-042,Deoxygenation of aldehydes and ketones to methylene groups,[R1a]=O,[R1a],[R1a]=O>>[R1a],methyl;primary;secondary;secondary_benzylic,,,"1) HSCH2CH2SH, HCl 2)H2,Ni | N2H4, NaOH, C4H10O3 | Zn-Hg, HCl | 1) HSCH2CH2SH, HCl 2)H2,Ni | N2H4, NaOH, C4H10O3 | Zn(Hg),HCl,heating",library_1270_chapter_templates.json,9
9-043,Deoxygenation of aliphatic ketones to alkanes,CCC(=O)C[R1a],CCCC[R1a],CCC(=O)C[R1a]>>CCCC[R1a],methyl,,,"1) HSCH2CH2SH, HCl 2)H2,Ni | N2H4, NaOH, C4H10O3 | Zn(Hg),HCl,heating",library_1270_chapter_templates.json,9
9-044,Imine formation from carbonyl compounds and ammonia,[R1a]=O.N,[R1a]=N,[R1a]=O.N>>[R1a]=N,methyl;primary;secondary,,,,library_1270_chapter_templates.json,9
9-045,Hydrazone formation from carbonyl compounds and hydrazine,[R1a]=O.NN,[R1a]=NN,[R1a]=O.NN>>[R1a]=NN,methyl;primary;secondary,,,,library_1270_chapter_templates.json,9
9-046,Oxime formation from carbonyl compounds and hydroxylamine,[R1a]=O.NO,[R1a]=NO,[R1a]=O.NO>>[R1a]=NO,methyl;primary;secondary,,,,library_1270_chapter_templates.json,9
9-047,Imine formation from 3-pentanone and ammonia,CCC(=O)CC.N,CCC(=N)CC,CCC(=O)CC.N>>CCC(=N)CC,,,,,normalized_template_witnesses.json,9
9-048,Hydrazone formation from 3-pentanone and hydrazine,CCC(=O)CC.NN,CCC(CC)=NN,CCC(=O)CC.NN>>CCC(CC)=NN,,,,,normalized_template_witnesses.json,9
9-049,Oxime formation from 3-pentanone and hydroxylamine,CCC(=O)CC.NO,CCC(CC)=NO,CCC(=O)CC.NO>>CCC(CC)=NO,,,,,normalized_template_witnesses.json,9
9-050,Clemmensen reduction of aryl alkyl ketones,CCC(=O)c1ccccc1,CCCc1ccccc1,CCC(=O)c1ccccc1>>CCCc1ccccc1,,,,"Zn-Hg, HCl",normalized_template_witnesses.json,9
9-051,Deoxygenation of methyl ketones to alkanes,CCC(C)=O,CCCC,CCC(C)=O>>CCCC,,,,"1) HSCH2CH2SH, HCl 2)H2,Ni | N2H4, NaOH, C4H10O3 | Zn(Hg),HCl,heating",normalized_template_witnesses.json,9
9-052,Substituted hydrazone formation from carbonyl compounds,[R1a]NN.[R2b]=O,[R2b]=NN[R1a],[R1a]NN.[R2b]=O>>[R2b]=NN[R1a],methyl,methyl;primary;secondary,,,library_1270_chapter_templates.json,9
